,Unnamed: 0,stats_id,weapon_x,initiated,strip_location,body_location,created_date,gfycat_gfy_id,tournament_id,weapon_y,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
0,0,DimwittedThisCoypu,epee,fotl,fotr_half,front_arm,1591130715,DimwittedThisCoypu,budapestwch2019,epee,female,Sarra Besbes,Jung Hyojung,7,12,right,https://clips.fencingdatabase.com/budapestwch2019/DimwittedThisCoypu.mp4
1,4,EcstaticSilverHammerheadshark,epee,fotl,fotr_half,front_arm,1592342612,EcstaticSilverHammerheadshark,budapestwch2019,epee,male,Niko Vuorinen,Uyama Satoru,3,7,right,https://clips.fencingdatabase.com/budapestwch2019/EcstaticSilverHammerheadshark.mp4
4,7,PeskyOffbeatAldabratortoise,epee,,fotl_warning_box,hand,1592396229,PeskyOffbeatAldabratortoise,dubai2019,epee,female,Irina Embrich,Man Wai Vivian Kong,9,8,right,https://clips.fencingdatabase.com/dubai2019/PeskyOffbeatAldabratortoise.mp4
5,8,ReasonableNippyAoudad,epee,fotr,middle,front_arm,1592405661,ReasonableNippyAoudad,wuxi2018,epee,female,Ana Maria Popescu,Rossella Fiamingo,7,2,left,https://clips.fencingdatabase.com/wuxi2018/ReasonableNippyAoudad.mp4
6,9,HiddenKnobbyKoodoo,epee,fotr,fotl_warning_box,torso,1592453630,HiddenKnobbyKoodoo,cali2018,epee,,Nelson Lopez   Pourtier,Jung Jinsun,9,8,double,https://clips.fencingdatabase.com/cali2018/HiddenKnobbyKoodoo.mp4
7,10,InsecureRealBadger,epee,fotr,middle,torso,1592453688,InsecureRealBadger,cali2018,epee,,Roman Svichkar,Jung Jinsun,4,13,right,https://clips.fencingdatabase.com/cali2018/InsecureRealBadger.mp4
8,11,SnoopyUncommonAnophelesmosquito,epee,fotr,fotr_warning_box,foot,1592453746,SnoopyUncommonAnophelesmosquito,bern2018,epee,male,Alex Fava,Jiri Beran,8,7,right,https://clips.fencingdatabase.com/bern2018/SnoopyUncommonAnophelesmosquito.mp4
9,12,AppropriateOldfashionedEstuarinecrocodile,epee,fotl,middle,hand,1592453776,AppropriateOldfashionedEstuarinecrocodile,budapest2020,epee,,Radoslaw Zawrotniak,Park Sangyoung,10,14,right,https://clips.fencingdatabase.com/budapest2020/AppropriateOldfashionedEstuarinecrocodile.mp4
10,13,IllShockedBasenji,epee,fotl,middle,front_arm,1592454343,IllShockedBasenji,bern2018,epee,male,Benjamin Steffen,Joao Cordeiro,7,4,left,https://clips.fencingdatabase.com/bern2018/IllShockedBasenji.mp4
11,14,DimwittedGreatHarvestmouse,epee,fotr,fotl_half,torso,1592454434,DimwittedGreatHarvestmouse,cali2018,epee,,Shi Yuexin,Angela Krieger,1,1,right,https://clips.fencingdatabase.com/cali2018/DimwittedGreatHarvestmouse.mp4
