,Unnamed: 0,stats_id,weapon_x,initiated,strip_location,body_location,created_date,gfycat_gfy_id,tournament_id,weapon_y,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
2,5,SpotlessBoldBarnswallow,sabre,fotr,middle,head,1592344478,SpotlessBoldBarnswallow,budapestsabre2019,sabre,male,Iulian Teodosiu,James Honeybone,11,14,right,https://clips.fencingdatabase.com/budapestsabre2019/SpotlessBoldBarnswallow.mp4
3,6,ThankfulUnsteadyCockerspaniel,sabre,fotr,fotl_half,torso,1592344528,ThankfulUnsteadyCockerspaniel,budapestsabre2019,sabre,male,Veniamin Reshetnikov,James Honeybone,13,14,right,https://clips.fencingdatabase.com/budapestsabre2019/ThankfulUnsteadyCockerspaniel.mp4
55,62,HeartyFemaleGrayfox,sabre,fotl,middle,head,1595004175,HeartyFemaleGrayfox,cairosabre2019,sabre,male,Vincent Anstett,Daryl Homer,6,4,left,https://clips.fencingdatabase.com/cairosabre2019/HeartyFemaleGrayfox.mp4
56,63,FlatShrillIndianhare,sabre,fotr,fotl_warning_box,torso,1595004497,FlatShrillIndianhare,budapestsabre2019,sabre,male,Leonardo Dreossi,Luca Curatoli,13,14,right,https://clips.fencingdatabase.com/budapestsabre2019/FlatShrillIndianhare.mp4
59,66,WateryShinyBagworm,sabre,fotr,middle,front_arm,1595345820,WateryShinyBagworm,seoulsabre2019,sabre,female,Martina Criscio,Olga Nikitina,3,1,left,https://clips.fencingdatabase.com/seoulsabre2019/WateryShinyBagworm.mp4
69,79,FrayedPracticalAmphibian,sabre,fotr,middle,torso,1595570751,FrayedPracticalAmphibian,cancunsabre2017,sabre,female,Anna Bashta,Emura Misaki,10,15,right,https://clips.fencingdatabase.com/cancunsabre2017/FrayedPracticalAmphibian.mp4
70,80,ThreadbareThirdIggypops,sabre,fotr,fotl_half,hand,1595584715,ThreadbareThirdIggypops,cancunsabre2017,sabre,female,Arianna Errigo,Takashima Risa,3,2,right,https://clips.fencingdatabase.com/cancunsabre2017/ThreadbareThirdIggypops.mp4
74,86,FailingPassionateGadwall,sabre,fotr,middle,hand,1595605174,FailingPassionateGadwall,budapestsabre2019,sabre,male,Joseph Polossifakis,Fabien Ballorca,6,7,right,https://clips.fencingdatabase.com/budapestsabre2019/FailingPassionateGadwall.mp4
75,87,GlitteringFriendlyGannet,sabre,fotr,fotl_warning_box,torso,1595605218,GlitteringFriendlyGannet,budapestsabre2019,sabre,male,Iulian Teodosiu,James Honeybone,7,12,right,https://clips.fencingdatabase.com/budapestsabre2019/GlitteringFriendlyGannet.mp4
77,89,SpicyFearfulGar,sabre,fotl,middle,torso,1595606402,SpicyFearfulGar,cancunsabre2017,sabre,female,Yoana Ilieva,Edith Johnson,9,11,left,https://clips.fencingdatabase.com/cancunsabre2017/SpicyFearfulGar.mp4
