,gfycat_gfy_id,tournament_id,weapon,gender,fotl_name,fotr_name,left_score,right_score,touch,download_url
0,DimwittedThisCoypu,budapestwch2019,epee,female,Sarra Besbes,Jung Hyojung,7,12,right,https://clips.fencingdatabase.com/budapestwch2019/DimwittedThisCoypu.mp4
0,KnobbySereneFreshwatereel,budapestwch2019,epee,female,Jung Hyojung,Noemi Moeschlin,1,0,left,https://clips.fencingdatabase.com/budapestwch2019/KnobbySereneFreshwatereel.mp4
0,KnobbySereneFreshwatereel,budapestwch2019,epee,female,Jung Hyojung,Noemi Moeschlin,1,0,left,https://clips.fencingdatabase.com/budapestwch2019/KnobbySereneFreshwatereel.mp4
0,AnyVelvetyIvorybackedwoodswallow,barcelona2018,epee,female,Jung Hyojung,Alexandra Ndolo,15,10,left,https://clips.fencingdatabase.com/barcelona2018/AnyVelvetyIvorybackedwoodswallow.mp4
0,EcstaticSilverHammerheadshark,budapestwch2019,epee,male,Niko Vuorinen,Uyama Satoru,3,7,right,https://clips.fencingdatabase.com/budapestwch2019/EcstaticSilverHammerheadshark.mp4
0,SpotlessBoldBarnswallow,budapestsabre2019,sabre,male,Iulian Teodosiu,James Honeybone,11,14,right,https://clips.fencingdatabase.com/budapestsabre2019/SpotlessBoldBarnswallow.mp4
0,ThankfulUnsteadyCockerspaniel,budapestsabre2019,sabre,male,Veniamin Reshetnikov,James Honeybone,13,14,right,https://clips.fencingdatabase.com/budapestsabre2019/ThankfulUnsteadyCockerspaniel.mp4
0,PeskyOffbeatAldabratortoise,dubai2019,epee,female,Irina Embrich,Man Wai Vivian Kong,9,8,right,https://clips.fencingdatabase.com/dubai2019/PeskyOffbeatAldabratortoise.mp4
0,ReasonableNippyAoudad,wuxi2018,epee,female,Ana Maria Popescu,Rossella Fiamingo,7,2,left,https://clips.fencingdatabase.com/wuxi2018/ReasonableNippyAoudad.mp4
0,HiddenKnobbyKoodoo,cali2018,epee,,Nelson Lopez   Pourtier,Jung Jinsun,9,8,double,https://clips.fencingdatabase.com/cali2018/HiddenKnobbyKoodoo.mp4
